Details,prix,N_chambre,adresse,Superficie,img_ling-src
Studio meublé aux mamelles,27500,1,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86814417b6188ea34bffe897ee853212/-/horizon-files-prod/ed/picture/q2jq4x6k/5370417851e29afc5af374998b66e2a43bb25b20.jpg
Chambre meublée de haut standing,23000,1,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7d6ef8dfcf556ca259312e12feea611/-/horizon-files-prod/ed/picture/q56dggxg/35923edcec645d3e93828adc63cb7bb9761e9a43.jpg
Joli appartement meublé 2 chambres + salon à Zac Mbao,35000,2,Zac Mbao,70,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6200d04d5a9f2dd123cee9d8141a830c/-/horizon-files-prod/ed/picture/qxj2wg50/cd3e9ba828bf422117505b6e4e257c395f810e82.jpg
F3 A LOUER,280000,2,Zac Mbao,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a97e9374a8e93c8cf859bd9754eeb4ec/-/horizon-files-prod/ed/picture/qwepjnn6/bf335d2dabf30211e979e64dad7c2f8f6a2df3f0.jpg
Appartement meublé Point E,1500000,3,Point-e,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1a78dd46e1e4425eaaca03562b71103/-/horizon-files-prod/ed/picture/qq42g90n/6ca2155b505af4a9d8fbd37b6174ce63f6fea843.jpg
Appartement meublé clean et  cosy,35000,2,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/87a613784d8675a9795b8a2c02ea4238/-/horizon-files-prod/ed/picture/qxjpgx88/6a9b7108dce8c0d5664fa58950fbc64090368b95.jpg
Magnifique studio à louer au Plateau,35000,1,Plateau,90,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb3f1b0e55c77ab7cceb98dfc1576157/-/horizon-files-prod/ed/picture/qrzv4r9n/66718f6d982f9f5f4515785dc79ace4b480704fa.jpg
Appartement meublé corniche fan résidence,2500000,3,Fann,340,https://i.roamcdn.net/hz/ed/listing-thumb-543w/babaaa8147b91b76c1adfd77a629efeb/-/horizon-files-prod/ed/picture/qngp2jnr/17489904d32d0a3989569202bd475f6200809e5f.jpg
Grand studio meublé,25000,1,Hann maristes,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cce52024ad1a4b241c40e2144446a4e7/-/horizon-files-prod/ed/picture/q6xdz5qg/a6c2a3f88f8eb60e32d59005bef3b2990a2ac4db.jpg
Grand appartement 3 chambres meublés,40000,3,Hann maristes,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecd04360d2e0180a4c986fbb6567c115/-/horizon-files-prod/ed/picture/q6xdnxdn/6e4dcb6534e0d294c7e7cb4872e3ba881bb2a582.jpg
Appartement meublé à louer à Liberté 6 extension,25000,2,Sicap Liberté,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba80f0a31d15746f36ccd63ac4edcda3/-/horizon-files-prod/ed/picture/migrated/q595nze/589d375ce01ca063986cdf8338517c6211e3606a.jpg
Appartement meublé almadies,750000,2,Almadies,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f21d3794299a755737a5e64ab4121d0e/-/horizon-files-prod/ed/picture/qzvpeezq/6f759f171dbbfd7bd630e2d00ca610813284532b.jpg
3 chambres Mammelles,900000,3,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e879e86c3514ca3eafdaf6b526dcf14/-/horizon-files-prod/ed/picture/qrzvdveg/eb55c6a069d76ca964193ce6c615c5b14c38f3f6.jpg
F3 meublé disponible au Point E,40000,2,Point-e,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/013ac723969d10675f3b238f3e43776f/-/horizon-files-prod/ed/picture/qkr87mz2/cb66249a7f5e95aa3b59b868f749723e9f796c28.jpg
Appartement 3 chambres salon climatisés location mois,600000,3,Grand-Yoff,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c04d55f3cd87ad1caf8052320d4b3e75/-/horizon-files-prod/ed/picture/qwe2djdj/828a5df666ed1ef8915cb67bea8ec986d65afdae.jpg
Appartement meublé aux Mamelles,35000,2,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84e6e060ab7bada6ba9bdda2a06bb62a/-/horizon-files-prod/ed/picture/qj4q27d5/00aaa106a022a95e0bf9d0c7028e858d1fe7fc33.jpg
STUDIO MEUBLE A LOUER,50000,1,Point-e,0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b81e03516f9b264d5ab6c1ea7980991/-/horizon-files-prod/ed/picture/qwepj9mm/a20938f3fb01e29424b0d9521ea18c860ab8a712.jpg
Appartement Meublé SD City,40000,3,Diamniadio,107,https://i.roamcdn.net/hz/ed/listing-thumb-543w/121d4cc39082bbf8b8c13bff16b2aa13/-/horizon-files-prod/ed/picture/q44n72j8/189965ae7dfd6a1b759170ad6f770c044ea94280.jpg
Appartement meublé à louer aux Almadies,1300000,3,Almadies,220,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5bcf35bb640d931eada503834e732ba6/-/horizon-files-prod/ed/picture/q6xdxd6j/539c18269c22272199ebf46f0b60f7e30b0822ab.jpg
Appartement meublé proche du centre ville de Dakar,40000,2,Plateau,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/870547202a4923c227c29accbb54f939/-/horizon-files-prod/ed/picture/q9m9jnm7/d9a0d7e48ecc6510b9ee58c6d5ced288dd9e7870.jpg
Mini studio  meublé à louer,17500,1,Ouest foire,50,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f3428c10c0ab31b0b8793f8652d4846/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qwe2vrwd/75b17a1f7bbc2fce777877d218a6100b98947a59.jpg
2 chambres salon meublé à sacré cœur 3 VDN RDC,45000,2,Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/225f6f467f2838dcdcc2bcb9752db541/-/horizon-files-prod/ed/picture/qzv4504q/bc4604a776e59769296454123cbf8e7f1486d3ad.jpg
Appartement 2 chambres meublé maristes école japonaise,40000,2,Hann maristes,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7f9e5dea8e4fed91c72874f397e31cd/-/horizon-files-prod/ed/picture/qm5pxdd6/fcd51ba9b717fa39d615e478873dd1e9fa6008bd.jpg
Appartement keur gorgui,25000,1,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fc281486b655ca1a56022449194a746/-/horizon-files-prod/ed/picture/qg07gwk/fc3584452b1071af6a55e5a2bf6ca1a7e628e6ce.jpg
F2 meublé standing,500000,1,Mamelles,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c34107588f83cb8e44b7111a6a4be61e/-/horizon-files-prod/ed/picture/qpdm2e4p/b70e558ab957b4531bba9b7581cd3deb1d8c52d3.jpg
Appartement Meublé F3 de haut standing,80000,2,Cité keur gorgui,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e67254dae17e131740694f76a444f665/-/horizon-files-prod/ed/picture/qenv2406/11edf70874f3f2a033f21e57f6f7d0d17a42ffcb.jpg
Studio meublé aux Almadies,25000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a7d6f8426757c22e13b3f36ad0d6f3b/-/horizon-files-prod/ed/picture/q44njw4e/a4874ad8e7779ddd7700e4fa63f65697c00140c9.jpg
2 chambres salon Ngor Almadies près de chez Katia,55000,2,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de3a2a7725d6514edeef072c72fad7b8/-/horizon-files-prod/ed/picture/q564g6xn/e03c63155f9b9d69c05480224b790874f5af3915.jpg
Ref_ 3280_SEY Sud Foire \ Appartement meublé à louer,70000,2,Sud foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c0602122ecf6b0ab7f801f773cd2eac/-/horizon-files-prod/ed/picture/q56dvep7/1c55394a4a90e865f9daa274528700ec960a6a55.jpg
Penthouse meublé à louer à l'espace Ataya à yoff,90000,2,Yoff,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/edd4b601705fb204ffabfa282cbde31b/-/horizon-files-prod/ed/picture/qpdm6jvr/bc4bf3650e9030db68efb332faf7eb1dc3765f85.jpg
Bel appartement neuf à Mermoz,2500000,3,Mermoz,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6db350cdd9c748c6aeb31b34df85aacc/-/horizon-files-prod/ed/picture/qzvprr7v/77b3706590e5d4b40f69ba19a803cda932b9e73f.jpg
STUDIO bien meublé à la Zone B  à 100 m  de POINT E.,45000,1,Sicap Liberté,80,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce38c3c168182294b8c2db4efe971eed/-/horizon-files-prod/ed/picture/qwepj4mz/b58e5f6ac6e93015208fd140c5cfee75dd57b9ba.jpg
Studio Americain neuf,40000,1,Virage,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/487e4e42e1d5ea9a07d7b9eeb0417324/-/horizon-files-prod/ed/picture/qgqwzkr2/f73b8a5807674c2a5a74bc85465269a0c4b4c31c.jpg
"Chambres dans appartement T2, T3 et T4 meublé",25000,1,Almadies,5,https://i.roamcdn.net/hz/ed/listing-thumb-543w/351518c8caf191dfe06c1300a37c9337/-/horizon-files-prod/ed/picture/q78w9k7x/47888346da148a812e248f5362d2cc9444fae8f3.jpg
Joli studio meublé 1 chambre + salon à Zac Mbao,25000,1,Zac Mbao,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb47ed2ac562c81a45e181c7184fcbfc/-/horizon-files-prod/ed/picture/qpdwxn2m/5be591f55e44fb325f379efb8703d2f70a705498.jpg
Chambres meublées (Dakar) Médina,15000,1,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49628fa7f062df9b239609fd935a5132/-/horizon-files-prod/ed/picture/qgqwzv48/728a304efbee849d35ab8761c92e08b35dc81ff5.jpg
Joli Appartement F3 meublé à louer,60000,2,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5df37f5e5228d8526995aa6c308ef67/-/horizon-files-prod/ed/picture/qzvpe7kn/71109fb6084bfe1b7374de8c23e3cb7d20d67d5a.jpg
STUDIO F1 BOUYGUES MEUBLE A SACRE COEUR 3 VDN,26000,1,Mermoz,39,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c581a64bcf0d57340a9a9f8ec1b3fd1b/-/horizon-files-prod/ed/picture/qdz2m44/1b9b8990e1c2e439d4387e002899868aadcdbb40.jpg
Appartement Meublé Design Mamelles,35000,3,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26766cdf94135d9f02ce2578262492d1/-/horizon-files-prod/ed/picture/q8v0g6p0/9e43bbe095214b8f483c578c446ced3561d9b5de.jpg
Appartements meublés de types F 3 et F4 à cité gorgui,50000,2,Cité keur gorgui,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1406749a54c893ae852a347894485c11/-/horizon-files-prod/ed/picture/qenv2gq6/021834fba07c560d586c6c7d273ded8dfecf8ff4.jpg
Appartement  meublé aux Mamelles,30000,2,Mamelles,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9659960ed8b975c9268ecfb534c371c1/-/horizon-files-prod/ed/picture/q5e67d7/c5955f8f2b0d9af41ba674a0c51a9a316b36bb70.jpg
Appartement meublé de 2 chambres a louer Ngor Almadie,1300000,3,Almadies,130,https://i.roamcdn.net/hz/ed/listing-thumb-543w/75bba4f5bef0be41e357116dd46bc04f/-/horizon-files-prod/ed/picture/qv4wxr0k/aaba3cb9ea5bd01566aefc3546fa76340246805a.jpg
Appartement moderne meublé aux mamelles,37000,2,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce4a48932f0f7c6477739b7a21db4734/-/horizon-files-prod/ed/picture/qenv2g2d/c0d1c37457a65f5b6b361bcaad6c1fedb83e5a81.jpg
Chambre meublée à Ouest foire,15000,1,Yoff,10,https://i.roamcdn.net/hz/ed/listing-thumb-543w/95a334261b4564d9db2cde7d4fafa2cd/-/horizon-files-prod/ed/picture/qxmqxpz/4b851fc952b696b4dc858ff240a128314614338f.jpg
Chambres meublées climatisées à louer à Richard TOLL,20000,7,Richard Toll,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c736300f3696a42dad1a0a956f290f61/-/horizon-files-prod/ed/picture/q8v45pxp/48cffaa76be430d2677e29b3176d3f10449dd574.jpg
Chambre meublée Ngor-Almadies,15000,1,Almadies,40,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c27f7b625756ba122a106cd91b4d17b/-/horizon-files-prod/ed/picture/qde74n2g/2386a8fcb790f7b5c10d5e15b00cfb0db60a79b0.jpg
Appartement Meublé 3 Chambres Mermoz,40000,3,Mermoz,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed2cc9feaa65e603446f8d40decd97a7/-/horizon-files-prod/ed/picture/qpdmmrj4/d55b901388ee29e663d0297d3b41278ad2acee8f.jpg
Appartement meublé à louer au virage,1700000,3,Virage,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a06cfb13ffc94bff20f260a9e9b261f4/-/horizon-files-prod/ed/picture/q2j0dj6e/15432806eea63273f5231de3bff795c796279de3.jpg
Appartement meublé haut standing,35000,1,Sicap Sacré-cœur,90,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31476849a6edbc7ddfa828096f98118e/-/horizon-files-prod/ed/picture/qj4qw496/bae46842dfad4567c550ceff10b3a1b32e9a59e3.jpg
Appartement f4 Meublè à fann,2500000,3,Fann,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/804f96b59606f8c92e19bcbb56e1b4fe/-/horizon-files-prod/ed/picture/q2jrx782/24794c353dfd2500a9ceded8a8354bb3e580a321.jpg
2 chambres salon liberté 6 extension,45000,2,Liberte 6 extension,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/262a96ff8600b704e03947d7bc028f18/-/horizon-files-prod/ed/picture/qj4j70q5/2a9c0d05193c9a015da05600a2b6a1ed3bfab830.jpg
Magnifique F3 haut standing entièrement meublé,60000,2,Point-e,90,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e071e52dc416049c37e304b323d2caa0/-/horizon-files-prod/ed/picture/qkr8qgvn/9a2674e2c485f2e0a1cd9c1d8b9ecd15831ed0ff.jpg
Appartement meublé à louer à Fann,2500000,3,Almadies,280,https://i.roamcdn.net/hz/ed/listing-thumb-543w/efb9bf06fc2afdf5fdc10c4e9ca57f61/-/horizon-files-prod/ed/picture/qj4qwq55/801a7d3ad88b5e6e514c63fbc15e37dea07aa9a6.jpg
Appartement meublé 3 chambres salon,40000,3,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/806483db5d21dcd28a44f89f90f03252/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qq47p0jk/7caf2395dde991e8ff5a91f50136b573cb86bc49.jpg
MINI STUDIO F1 Sidy,23000,1,Mermoz,35,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed0825cce3ad25c6f400bc40af13afeb/-/horizon-files-prod/ed/picture/q929pp6/ca39d91111e52ea19d7945a84ec7a597a5a006f2.jpg
Bel appartement meublé,1200000,2,Point-e,175,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47dc99c1057cbc7320c98bf393584931/-/horizon-files-prod/ed/picture/qzvpzr26/a418edfde20de6029444ab1ae477a18ee6a49e24.jpg
Bel appartement T2,650000,1,Sacré-cœur,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc4afd57bf71f4e33c87bd13f591b4be/-/horizon-files-prod/ed/picture/q6xkvpxd/c6042ea53f42a4c843a88a11400bc7313984b27b.jpg
Luxueux studio meublé,30000,1,Cité avion,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9c9e27a96bb29aeb4d4017394c78b97/-/horizon-files-prod/ed/picture/qwe2qg7k/100981dcf8e86a71966b888d4d4c9ddd4c84dfda.jpg
Mermoz Pyrotechnique / appartement meublé,35000,1,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3e0415c93314cd3e5b1829ba41214f6/-/horizon-files-prod/ed/picture/qv4wkw5g/148c09c0b7f8db4781635912f7892636375e3155.jpg
Studio une chambre salon meuble  équipe,20000,1,Hann maristes,62,https://i.roamcdn.net/hz/ed/listing-thumb-543w/624f3fe08745393ba5c79c3d5aad6efb/-/horizon-files-prod/ed/picture/q8v4kkr9/72481aab9a705f76184e84ac269417f170b0afdf.jpg
Appartement 2 pièces  salon espace familial,30000,2,Hann maristes,80,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1edd490fefabe3b290a4a78428ec8861/-/horizon-files-prod/ed/picture/qxjpwwnz/f2f8472632ec61389dce9fae94514460e7975295.jpg
Appartement F4 meublé aux Almadies,90000,3,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fec38296f0478d620e1d589b56000a52/-/horizon-files-prod/ed/picture/q8vz4rq0/c23322f569f8fd3e341752fe743df8526d76ce89.jpg
Bel appartement meublé,1200000,3,Mermoz,130,https://i.roamcdn.net/hz/ed/listing-thumb-543w/00e1e1ea3e819fe351cf8efbed008c09/-/horizon-files-prod/ed/picture/q0g7zn48/aa153dc451f3077e6c72ee36adba615f980d8890.jpg
"Studio meublé à ngor, non loin de Philippe moris",30000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/07481cd88603e0048f0c98693762c627/-/horizon-files-prod/ed/picture/qrz80ng8/9685bd86ffe92c4fc357ea861bee3918fe256859.jpg
Studio meuble a liberté 6 extension,22000,1,Liberte 6 extension,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cc64ad5037636e1c8ba437a242b85aa/-/horizon-files-prod/ed/picture/qgqw049n/326b13efd5e80dcc165b0a892a5148704aa9129f.jpg
Appartement Meublé de Prestige à Mermoz,1800000,3,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f866a9cb71a1bfab67ed783930281d2/-/horizon-files-prod/ed/picture/qj4qw5qv/d92a31c0b3f7c80f33d52bb82eaddc306a3c8d28.jpg
APPARTEMENT MEUBLÉ - ALMADIES,1700000,2,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06b687999457e2bc7a65bc3dd8a06866/-/horizon-files-prod/ed/picture/qgqwzrqe/8064796b507f865a8b50abc2f16003636f90b6ee.png
🏠 APPARTEMENT MEUBLÉ - NGOR,1400000,2,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8be13669ef5ef0403befeaf5dc3919ff/-/horizon-files-prod/ed/picture/q0g756g8/1641124e5a0cd77e837ca86ef3e31962a63d0ca1.png
STUDIO MEUBLÉ A LOUER SICAP FOIRE,30000,1,Sicap foire,80,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f40ce7521bf4037c3899778d555007cf/-/horizon-files-prod/ed/picture/q44nmr65/c91752cae9136742a0d9823e95c7db6c6f176ca8.jpg
Studio meublé Sud Foire,25000,1,Sud foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d829ef4d0b4643ffcdb4063f9658b0c/-/horizon-files-prod/ed/picture/qwez9v45/095e5260b5af494d152ac1954db3926f38757685.jpg
Appartement F3 meublé à Ouakam,65000,2,Ouakam,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/882eb2c73365f3e8c81fca4a42a0385a/-/horizon-files-prod/ed/picture/qngpzj79/4e3c753f29d7d4467579fee7d12113d3d113661e.png
Chambres et appartements meublés ouest foire,12500,3,Ouest foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9502b662523474ed34c862607aa17edb/-/horizon-files-prod/ed/picture/q78wm06q/1310d09e7100d5a6baa2a62be2502647dede5d9e.jpg
Chambres et appartement meublées,12500,3,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e314e4201478dea9c345bea9344f4c00/-/horizon-files-prod/ed/picture/q6xdmvw6/1d325226b62ee4ed89b8da1242f62dbce1d13202.jpg
Appartement F3 meublé haut standing,80000,2,Cité keur gorgui,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9812c52a127f984f1dce04963b192c/-/horizon-files-prod/ed/picture/qenvwerk/5411173536e41f15ab6dc70fd4948897a680248c.jpg
"Grands Studios meublés à louer à Toubab Dialaw, piscine",25000,1,Toubab dialo,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b1c8c970fe9fa530d85b0c919102282/-/horizon-files-prod/ed/picture/qwep8wxz/9f1cac5cfa10b04842aab3118636b8b5ade54d09.jpg
Les Résidences KEUR AWA’S,550000,2,Somone,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b206d800fd71a6ff7dcfdf4a86c7235f/-/horizon-files-prod/ed/picture/qv4wqz02/79c8880561217303e543b48d2e127e70e8aaea2c.jpg
Appartement de type F5 à louer,2500000,4,Fenêtre mermoz,270,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71e45be091f65d36b1f2757074a371cd/-/horizon-files-prod/ed/picture/qkr8xj2x/6795d6ad9aa025c22329e3da0d1414d204c3197c.jpg
CHAMBRE DOUCHE PRIVEE CLIMATISEE A SACRE COEUR 3 VDN,20000,1,Mermoz,20,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4ddf4ccc4e1ea45ef60abee51d7c40e3/-/horizon-files-prod/ed/picture/q0g7z0q6/6ccea48d595c7a08af4be505e97c6ab663a61f24.png
Appartement meublé à louer à golf,350000,3,Golf,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a0ef189da8476240bd98ad4cbbad333/-/horizon-files-prod/ed/picture/qrz80vw5/2548d19d829a50c961d2f690572a12f3baf47e01.jpg
Appartement meublé water front,3500000,3,Mermoz,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdd0f7bde39d031f53ff5c2c670de506/-/horizon-files-prod/ed/picture/qngpz8qv/6e006a6c8b98a1b69ce2748bf396a44865330fd7.jpg
Appartement meublé Haut standing KALIA,800000,3,Zone de captage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0fceac91a29fb386876ffde5baf64bd0/-/horizon-files-prod/ed/picture/qm5ppj52/adab8c7b6c853b6bf213f7b4ba1b3dccc838a11c.jpg
Appartement f3 meublé,1,2,Sicap Liberté,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50b2ec5deb2b1ef671368d3aef74bfa3/-/horizon-files-prod/ed/picture/q78w9nzq/e64cc4d3ac7125a79a91941b31c7c67b10a91cb6.jpg
Appartement meublé à Liberté 6,30000,2,Liberte 6,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6116e581751f7265b8c2d7f4c5593570/-/horizon-files-prod/ed/picture/q6ekr9p/12bd1fae7244ff26789f74b0365f861a6edd4517.jpg
Appartement F4 meublé,50000,3,Zone de captage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d090d70715a8f593f8bf1abfcb22eac8/-/horizon-files-prod/ed/picture/q785vzkn/b37a06d8441bc4a215193f576733ac79430c6064.jpg
Appartement meublé F4 spacieux à Ngor Almadies.,40000,3,Ngor,135,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a2fd4b119de22d3edb4323056d233d8/-/horizon-files-prod/ed/picture/qq47g0wz/94cfbba5d0b6252e7b3a19ff0b172e1876b09a33.jpg
Appartement meublé à louer,1100000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b2efd8deda06cb1864be491560514d0/-/horizon-files-prod/ed/picture/qxjpwwpq/b8878ea10db30d7683b2e0c840f965f5a96e0193.jpg
Appartement meublé cité Keurgorgui,500000,2,Cité keur gorgui,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/247a2a1810d0c5bf762fd824ca57282c/-/horizon-files-prod/ed/picture/qenqpw86/98a425f955b833b06810da68b95fd59eea8c4cf3.jpg
APPARTEMENT MEUBLÉ À DIASS,30000,2,Diass,50,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e6367871797db3b22398723290ca410/-/horizon-files-prod/ed/picture/qngpze09/3ad87534df143f9dd836e36106d4e85d1ece81a3.jpg
Appartement meublé de 03 chambres Mermoz,1700000,3,Mermoz,184,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c9c7d1823b0102a70cd06f41383e3b06/-/horizon-files-prod/ed/picture/q78wm2gx/ee1db8dbf235bf6c110a0899eff4b0154dbc3c35.jpg
Appartement meublé de 03 chambres avec piscine Almadies,1800000,3,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/046117689a07d1f042f312b836b167b1/-/horizon-files-prod/ed/picture/qm5g42n2/1fafb5b73338578d7e51964ef44c8b64a986cac0.jpg
Ref_3282_PL Appartement à louer  en centre-ville,1800000,3,Plateau,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b05902f122277a8bbbc1e25d9ba8c308/-/horizon-files-prod/ed/picture/q6xdmrkn/4c267698c014ed89a9ebdcc9708c5a47f56c2816.jpg
3 chambres virage vue sur mer,40000,3,Virage,125,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4504e002d76f660718191830f040ab7c/-/horizon-files-prod/ed/picture/q4w0g7v/04fb286f725d451fc6247bbaf6fcb32589bbd9f7.jpg
STUDIOS MEUBLÉS À LOUER À  DIASS,20000,1,Diass,50,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a672cc5c209f0a7509d9c8eccc970da6/-/horizon-files-prod/ed/picture/qzvp690v/c18efd3b57bd42a6b843a295e7acf8f4e726d0df.jpg
2 Chambres Salon meublé à Ngor,60000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c745d8672878b9c803b01e2b705e47a/-/horizon-files-prod/ed/picture/q56d5e5e/ce6010d91b0c128cef4014167105f08934ee659a.jpg
Studio meublé à Ngor,35000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae1d27a2617c3e53dc0943a52a38a9e7/-/horizon-files-prod/ed/picture/qpdm7z74/5aea0a45db2af1878afd3578942c2a810dc7bbfc.jpg
APPARTEMENT CONFORTABLE A DAKAR,15000,2,Sacré-cœur,75,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e64f907a3f167cda4cead6cc0dd42ed6/-/horizon-files-prod/ed/picture/qrz80e02/4e6605c35db056190076c09d3813dc3c190d451e.jpg
Appartement de luxe F4 Point E,100000,3,Point-e,130,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66c481312e6b7198e3c510209ade2948/-/horizon-files-prod/ed/picture/qq4747k6/c01e74b2f0cc79204ce79b050bb598b0b3961f78.jpg
Cozy haven retreat,25000,1,Virage,75,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7ed400663a346c029430655d5a3679ba/-/horizon-files-prod/ed/picture/qwepmm0k/c141767d0c87bda463839c2f6bac75b52d5b522a.jpg
Ref_3283_PL Appartement meublé à louer en centre-ville,1500000,2,Plateau,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a99a5a406cc6651519eb5685b785366/-/horizon-files-prod/ed/picture/q56d5m0x/f0c29be896f3c1ceb4f4c48294883f7ca507eeb6.jpg
Appartement F3 meublé de haut standing,80000,2,Cité keur gorgui,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b563ed2eef6c6098242fdc58159d7d81/-/horizon-files-prod/ed/picture/q78wm0nj/3c7d9e7ece6ed545307542ae06b8f07d227d8634.jpg
Appartement meublé à Ouakam,4000000,4,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ab4b07b3b3aa417d1d78e0f2825a86f/-/horizon-files-prod/ed/picture/qv4wqg28/bb8129e5cafeef6f683582637948de368f08961d.jpg
