Details,Prix,Adresse,Superficie,image_link-src
Terrain à vendre à Saly Gandigal,7000000,Saly,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7522d5709e3d11e7205467ab7008ed31/-/horizon-files-prod/ed/picture/qpdm8q9q/ec88735b83bc7caf58693f09fac8cae54f81395d.jpg
Terrain Tf a vendre a Liberté 6,125000000,Liberte 6,350,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fade3753dc02c50802943b286895003a/-/horizon-files-prod/ed/picture/qm5g4mdj/d67cf3149072b90e5119fd8524fc8eacedd80251.jpg
Terrains à usage agricole à Mboro / hectare,2999000,Mboro,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64b01572de5bbe0cf504f373b7acf46e/-/horizon-files-prod/ed/picture/q8v57mkn/01d4781aabedee939a3a6c1f7e4f57cdcd8c228a.jpg
Terrains en vente à Kounoune T.F,14000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29640978dd78283abc8199788dbb940d/-/horizon-files-prod/ed/picture/qq4qee04/061431982a669c17a9d8dffb2a6a9b72473a4ccf.jpg
Spécialement des grands terrains a vendre,1100000,Almadies,1200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e46d1b7cbad08a6173ab51fa9f1a444/-/horizon-files-prod/ed/picture/q78wg64j/9bdbabe10eeca3739a855c990081881962731166.jpg
Terrain de 150 m2 au croisement Niague (site viabilisé),18000000,Niague,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a41ea09d173d37bc412d12168e59bd14/-/horizon-files-prod/ed/picture/q9mjk0jn/40561ce64eaec0a249d384509626f6406d78ac29.png
Titre foncier Kounoune,19000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/554526a430ed909ef0d7e0724e5991cd/-/horizon-files-prod/ed/picture/q44nmm52/90539f8fa06fa722d241026a667e9ba9ab572a8e.jpg
TF global / bail Individuel en cours,35000000,Somone,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb0da83079323dd80ffc6828a802e34c/-/horizon-files-prod/ed/picture/qm5gdd76/a53cc364f40e1f08a089d50bc7bf61d805058533.jpg
CITES DES SENEGALAIS DE L'EXTERIEUR,15000000,Mboro,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/272d35e471d069f78d65aebccf0a2cfb/-/horizon-files-prod/ed/picture/q8v4m8w0/a72be5d0b9f43474ebf665e14ebd19a54cbf2777.jpg
Terrain à vendre au Point E,15000000,Point-e,900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/534fd99dcc7eda2a9edc4298e94f90a1/-/horizon-files-prod/ed/picture/q0gw64n8/cdd082dffd0e8f03ca7cbede305caaa632b22259.jpg
Terrain 2000m2 aux mamelles,850000,Mamelles,2000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cf28363d4c7d507b11822389dee4aa9/-/horizon-files-prod/ed/picture/q0g7z0xx/289c781815ef49e32113c5d5b3bc7abffccbabb0.jpg
Terrain 2000m2 à yenn,90000000,Yene,2000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe336818de2c8d67b698565fcae8e8a9/-/horizon-files-prod/ed/picture/qwep8596/c59a98e9b9d4c22db728f4b2d055bc10e65aa5fd.jpg
Terrain à vendre au point E,1000000,Point-e,1549,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3df3de372fa47c03fdc8da748d2c7f3e/-/horizon-files-prod/ed/picture/q9m9vmgp/5ac0f836bd22e3bc43e979b6525ac2db8d542e34.jpg
Terrains à vendre à Niagues,3000000,Niague,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/490ee274846e65640645710ee9147384/-/horizon-files-prod/ed/picture/qenv7m4z/4fb026caa1735788a5f2ddd699a578482fb417b4.jpg
Terrains à POUT payables sur 3ans,4500000,Sebikotane,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a1141d3feb52f5a6a2eeba092c55c87/-/horizon-files-prod/ed/picture/qkr8mr9v/0658f0981434a31c2090ec75613266d778027538.jpg
TERRAIN EN VENTE KEUR MASSAR,10000000,Keur Massar,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7580320f6a3c3d53a879979ee114d0e8/-/horizon-files-prod/ed/picture/qv4wdjpg/24c1cb5a02a5480d111e648ba20531bd3ad4504b.jpg
Champs de 1 ha en première position,55000000,Notto,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca3bf0e23629c9190927c56befb6c84e/-/horizon-files-prod/ed/picture/qpd6q7ej/f82829524f10b59eaf040895004ebd1fa1d40056.jpg
Terrains à vendre à Mermoz : l'endroit idéal,299000000,Mermoz,340,https://i.roamcdn.net/hz/ed/listing-thumb-543w/beb85a719389ea05a1fa5f62a66a64a3/-/horizon-files-prod/ed/picture/qj4qwgq6/a8732ce8d8b62c9d44517bb93a3612b8365c5b60.jpg
Terrain a vendre aux Almadies,180000000,Almadies,272,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19e86999d155bcbf54edeac3dc1fe1a9/-/horizon-files-prod/ed/picture/qngpzv4r/7d91e7fcd7c4b8cbdc4d9723ae28f48f3bac2d83.jpg
Terrain aux Almadies derrière Philippe Morris,250000000,Almadies,289,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f3c1c7438e6b97be74b9abd19f2b70e/-/horizon-files-prod/ed/picture/qrz80wd8/a6875b36984536ff488ffee22460fc13f13f36ea.jpg
Terrain à Nguerigne,35000,Nguering,2900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d3810e14b37fc14173e0ef79a29d550/-/horizon-files-prod/ed/picture/qrz80x5n/eab77b17b88001e15b060b7710c4f4cd68d5f6e0.jpg
"Terrain, bail individuel à vendre cité Elevage Mbao",21000000,Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b677aa103fc2b5bf71c5f78bc193d059/-/horizon-files-prod/ed/picture/q6xdmxe6/c7b885332fda8778039ca2dfbdc188d56a2df1dd.jpg
1543m2 a vendre aux Almadies,15000000,Almadies,1543,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09d699e6bf0a85a039fb7a83979f1c5c/-/horizon-files-prod/ed/picture/qwep87m6/2b6f183cf0b9742b5ea1c88a48372185bcae9f05.jpg
Terrains Titre foncier individuel à vendre à tivaouane peulh,12000000,Tivaouane peulh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a82a4660b77cb4705b2cbafbff8cabf2/-/horizon-files-prod/ed/picture/qm5g4xgd/b01ce04fff601e207db474b5ce8d11bb3f11e3f6.jpg
Somone à 100m de la route principale,40000000,Somone,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65a2ce6496125a6c8e772dcf87e4c6a7/-/horizon-files-prod/ed/picture/q6xdq4qv/875878fa88ee9729a06f1745f4745bf8519416ce.jpg
Lotissement à vendre à tivaouane peulh,4000000,Tivaouane peulh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fa31ff8b15f755c41f5fbff287fd842/-/horizon-files-prod/ed/picture/qwepzqw0/e39cd6f9f25fe5043b9cece26e5b7acc4eed4f13.jpg
Parcelles de 150m2 bien lotissés a vendre à bambilor,2500000,Bambilor,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62837575d6387e5da59368d22044ee6f/-/horizon-files-prod/ed/picture/qde76k0g/6ab3c173763ab53dceeac7fffb41a5f720f8cef1.jpg
Terrain prêt pour construction,7000000,Bambilor,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ae65f4839a2560ad67e94d26874cb83/-/horizon-files-prod/ed/picture/qxjpw9jq/c6c4189d95360d9662deaa3d7518d7428df8e711.jpg
Terrain de 500 m2 titre foncier a Guediawaye côté Dalal jam,300000000,Guediawaye,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47e5e7373a4664a47d5eddcc11ae5c21/-/horizon-files-prod/ed/picture/q6xdzzmd/faa20e8ef5bb8ff16ea54e693b793830631c83e7.jpg
Terrains rares en résidence à vendre à Nguerigne,42000000,Almadies,998,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92665f03715c0599c067a9be8232e080/-/horizon-files-prod/ed/picture/qrz848zj/03ea93e43116da385e6bca1de2392ec98b610300.jpg
Terrain à vendre à Malicounda Mbour,4300000,Mbour,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fe0baeea27dbcaa98e68b6d920c2d1f/-/horizon-files-prod/ed/picture/qkdzeqn/2a79802d6cde5d7e265b9d22218bc0b045ed5786.jpg
Terrains a vendre bail individuel a Ndiakhirate,10000000,Sangalkam,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bc3bcfc34e0b80917c78e7c872b3c44/-/horizon-files-prod/ed/picture/q56xv56n/02108abc7e9160852aedd65c2c609189d0aec557.jpg
Un beau terrain de 3100M2 Nguerigne,120,Mbour,3100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0db38ccabf6a834008d6bf8e3a09fc52/-/horizon-files-prod/ed/picture/qzvp5pnv/ccaf476f8001b953a6ac1a2957ffa1dcb0f999b5.jpg
Terrain 300m2 TF aux Mamelles aéroport sur une voie de 20m,225000000,Mamelles,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e88fc211aaa32af9b6f459ffa7854c74/-/horizon-files-prod/ed/picture/q8v4d5jj/32c4704ad7f5fb384267b712751469ed88a13dc0.jpg
"Terrain 1371m2, 3 façades, Saly à proximité Institut Diambar",150000000,Saly,1371,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02d7139bdfbda6c4fb80a632347cc821/-/horizon-files-prod/ed/picture/qrz8nx25/258fd63228ee0ca7f1c9e3e7abf9dfeb9f4fa20c.jpg
TONTINE TERRAINS (TIVAOUANE),2000000,Thiès,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b1e4717a97edafe26804f21cbb740013/-/horizon-files-prod/ed/picture/qzvpjgjr/4d66fef01477c3f5c9318cd054fdabe07739f281.png
Ref_5074_GL   Terrain à vendre  sur la  Route de Rufisque,2920000000,Rufisque,7300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0e806fccd2beb30cef9b6c25e838fc4/-/horizon-files-prod/ed/picture/q44nm6qm/025c34bca473956b6abdb2537ca333d2db975c6d.jpg
Titre foncier,14000000,Ndiakhirate,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03acd2b6377f039c7de30268095eff7e/-/horizon-files-prod/ed/picture/q2j05vnj/77934b8aa2979ffa2a47862c48da58362b122446.jpg
Terrain très bien placé aux Recasement,135000000,Ngor,264,https://i.roamcdn.net/hz/ed/listing-thumb-543w/547016456c8badd09d611d165802ba74/-/horizon-files-prod/ed/picture/qpd6kpvq/e815cb86e810c4707320e7263cb6ee4c21c102ba.jpg
"Vente d'une parcelle agricole de 3,5 HA",18000000,Louga,35000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/824fec9f3b596e176867c72e015b1f99/-/horizon-files-prod/ed/picture/q56dwxg2/65fb56bee308c2eae61bc6dcf9181ac8694ae6e7.jpg
champ de 115 hectares TF à sindia,4000000000,Sindia,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3c8bd75bf5d26b235c0a93291b03d60/-/horizon-files-prod/ed/picture/q2j0ng8e/bcd1ab87a9497f7bfaae247ac004abfbfca985be.jpg
Terrain à vendre à Mar Lodj,65000000,Ndangane,1702,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cf589eccfbc099ed17525c1441ed001/-/horizon-files-prod/ed/picture/q0g7056g/e50d15db10ad44feb51dda046a46b7ff70a60078.jpg
Terrain angle titre foncier individuel aux Almadies 2,30000000,Almadies 2,172,https://i.roamcdn.net/hz/ed/listing-thumb-543w/451c9fa366f7ef9496f097dd885355af/-/horizon-files-prod/ed/picture/qkr8v72x/d6c72420bd0d046e8a735042747b857b1fd9b9ac.jpg
Terrain a vender a Nguerigne sinthiane,60000000,Nguering,1000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6cbf9faa0955134959ea1a1684fdf1c/-/horizon-files-prod/ed/picture/qenvjw0z/d4c25ece5b3d7bd77c7677c4f52a6a7fca9e8549.jpg
Terrain 150 m2 Tfi à vendre à Almadie,21000000,Almadies 2,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9bdd42f3585a164ecf2eaa06d7782722/-/horizon-files-prod/ed/picture/q9mjwjpx/24b0bb402a4df86033a26a3542110af6a82213c3.png
Malicounda Vend terrain 6200m2,29000000,Malicounda,6200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3dd6bae6e9a45343c94df93a0a7f0330/-/horizon-files-prod/ed/picture/q0g700qz/17f68555bf21273722db64c9358841496959bf9a.jpg
Titre foncier Tivaoune Peulh près Gendarmerie,17000000,Tivaouane peulh,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c9244d4721233a93892456ad370fc4df/-/horizon-files-prod/ed/picture/q44nqme2/12c9e0d144b45cea582d4fe6d7cf7f934a25c2ab.jpg
🏡 Terrains à vendre virage,500000000,Virage,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/283ebf3b2ea77a565a55f1a33cca3b31/-/horizon-files-prod/ed/picture/qenqprzd/ff4052248fdf2018a18be4d37cf2c13cf446dd95.jpg
"Terrains à vendre aux Almadies, ça vous tente ?",508800000,Almadies,636,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7695e540335efcb4fdd72a1b310061a0/-/horizon-files-prod/ed/picture/q56xrp27/55280cee7fca88a024944838d5fb3580fcc53c54.jpg
TERRAIN A VENDRE DERRIÈRE STATION EYDON,370000000,Almadies,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1b70ec4fda168fbfcf062444a316391/-/horizon-files-prod/ed/picture/q2jq7766/1992c854442d19f8e2cab4712af010f9b9cdc7af.jpg
Terrain de 150 m² titre foncier cité sipres ZAC Mbao,30000000,Zac Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/25bf7c9c1f9af3de2ae5474c9f87df52/-/horizon-files-prod/ed/picture/qde7jqw7/14827670c52cd73f615e4c8d9aebfead114b35f2.jpg
Terrain angle de 240 m² Bambilor cité Dallale jamm,6500000,Bambilor,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19956b248fe4a9ea31eac8b8015fbd45/-/horizon-files-prod/ed/picture/qxjpen24/a28b7a11c321f9734755ea71d33bb85642cbbaec.jpg
villa à demolir à vendre liberte  2,190000000,Sicap Liberté,261,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0e0d4cfbf67e93a1f6b3413077ff1487/-/horizon-files-prod/ed/picture/qv4w5r6p/858ed3f6a4a37aae888b8166a361d6431b90e0d7.jpg
A VENDRE TERRAIN 3150m²  NGOR,1,Almadies,3150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1fd459e6b395d88de7b2d7d5a8b7cb0b/-/horizon-files-prod/ed/picture/q2j0dw2e/d206c72c847d792a178f18a303cd93dbe211ccc3.jpg
Terrain clôturé bien placé a kounoune,9900000,Kounoune,168,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36e9b545694bee891abae138a6a65f36/-/horizon-files-prod/ed/picture/qngxmkkx/1fd201e6eb53abdc3382636004ea007bb5723bb4.jpg
Promotion des terrains très bien placés aux Almadies,187500000,Almadies,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b1c81431b8d1656d28410cee689b6509/-/horizon-files-prod/ed/picture/q78wr6zz/6c8c419be47c3bc17562e62b39905e0cc39787e5.png
Lots de parcelles TF à vendre à Kounoune Rufisque,24000000,Kounoune,160,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c4c213677846ca86d5cbc3aa14754a1/-/horizon-files-prod/ed/picture/qenq84d2/14cbe39d2dcb87be758417bca0ca871867475061.jpg
CITES DES SENEGALAIS DE L'EXTERIEUR MBORO/DIAS,1,Cité keur gorgui,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/215f96c6e47468f5c0b4780acae0d65c/-/horizon-files-prod/ed/picture/qrz80pqj/8c92de261225a79145ccc5b4a01c182504616eb4.jpg
Vente de terrain nu,48000000,Zac Mbao,214,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fbb10f4c9e693c36b014da9bc0ec2a1/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qq42w8mv/62880d269100b7fdc21247da3e6541105dd78e3a.jpg
Terrains de 500m2 a vendre,12500000,Ngaparou,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1f1ca045a53e99e88363e1eceb6205c/-/horizon-files-prod/ed/picture/qwep572z/0fdb3ce4a679b32bc2faada2e7d5e0699914e700.jpg
Terrain à vendre aux parcelles assainissement u26,85000000,Parcelles Assainies,209,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92842c997113c16a6bb99556a6fa97b0/-/horizon-files-prod/ed/picture/qj4q7njr/3215eb7b16fb89fa4d5c6371250ffb7aefc19455.jpg
YENN Tood,6000000,Yene,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1a20252bd21b0652697f2b5a10ae4da/-/horizon-files-prod/ed/picture/qngpnxwz/d0fa4c574941640036c1b2b8092b3e7d8255f9aa.jpg
Terrain à vendre  NGOR ALMADIES,900000000,Almadies,1028,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e73ee8bdf7bdc5742c9cdbddead0636e/-/horizon-files-prod/ed/picture/qkr8mx4v/da3836d7a55e31812bac7f8004819d14eb8b7810.jpg
Terrain de plus de 4 hectares à vendre à Sinthiane,23000,Nguering,41480,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c5962fa98191834055c67f724d5e654/-/horizon-files-prod/ed/picture/q2j0npdj/77b399cf00546c4127f3abb62fe0fbb224ca138a.jpg
Terrain semi clôturée à vendre à Sinthiane,30000,Nguering,1599,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7be14ce4221f29b3d89fdfa8ef9b15f0/-/horizon-files-prod/ed/picture/q44nqe29/b0d23a3ad03783dbd58489c783b9553522b47909.jpg
VENTE 13 TERRAINS TF KEUR MASSAR,22500000,Keur Massar,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a445170a70e70c3cc8a71f1f97b7d84/-/horizon-files-prod/ed/picture/qm5gnkjm/c62b60b86747da7eb22e8e31b303f9192460de99.jpg
À VENDRE : TERRAIN À KOUNOUNE 2 – 150 m² – TITRE FONCIER,16000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ea0cb728f7a57f3507b9d9c88ea828f/-/horizon-files-prod/ed/picture/q9mj6pp7/3bc096cd7671ba62cc7fbe8be355d37662a14800.jpg
Terrain 300 m2 Louga,1800000,Louga,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78549db206108639a482033493e9677a/-/horizon-files-prod/ed/picture/qzvdzqk6/c9a962f731404f57a495e9fd415b65b88074b664.jpg
Terrain de 1800 m2 à vendre à Ngaparou,64300000,Nguering,1800,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93944ebc1f1bb9f58ab32219df21fdfa/-/horizon-files-prod/ed/picture/q2j0nk9j/269a0b7be260bad11b3b08e895006c2736372f2d.jpg
150 m² à vendre ZAC de Thies,15000000,Thiès,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26d41ae62c8cf169036e0081281508f7/-/horizon-files-prod/ed/picture/q8v49jwz/77b0b0802aabaab99f213e0f1416d5c33ab0e486.jpg
Terrain 292 m² Derkle TF,130000000,Derkle,292,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0fe9559d03932681c8bcbd4ac2ff614/-/horizon-files-prod/ed/picture/q56dpeqe/a2e25d46e99d3b276cc869fa20e448a3d5bf11d5.jpg
Terrain 111 m² sacre coeur 2,100000000,Sacré-cœur,111,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5894607b8b091883b98fadfdcf8dd9b9/-/horizon-files-prod/ed/picture/qwepnde5/baca8a5fbd0f6077609600225d4b75fc901f0f52.jpg
Terrain commercial 710 m² à vendre Ouakam,400000000,Ouakam,710,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b4020de625943ae2b87dddb6aff9cd5/-/horizon-files-prod/ed/picture/qxjpw5j8/f1fa9e4b18ea72c1aec9323b595eaf32edd41069.jpg
Champ de 3 hectares à Noto Gouye Diama,22000000,Notto,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a82a08f3d08d5dc50e6f2b82eeb6cebc/-/horizon-files-prod/ed/picture/qgqwkgnk/ea56a3a5108af25ce7009d02dbf54f00c892926e.jpg
Terrain à vendre à Ngeurigne,262500000,Nguering,7514,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9a970d745c98194845b57449300e4d4/-/horizon-files-prod/ed/picture/qzvpq4en/4d7f48a3df1341d377a32a2e50860530e24e1472.jpg
Grands terrains et case face réserve bandia,8000,Sindia,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0fcbcaa6af4891c689e8b2b5e253090/-/horizon-files-prod/ed/picture/q2j02rkq/dd11131b91c3e9e2702fea5a35d316584d871c21.jpg
Terrain a vendre a Keur Massar,15000000,Keur Massar,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d539107a0af65bdb249c17b5f8e1a1e8/-/horizon-files-prod/ed/picture/qngpkp5z/e9bdc2519f75a297eed7256685ef3c773a58cb0e.png
Terrain vue sur mer a Cap Skirring derrière l'aéroport,15000000,Cap Skirring,406,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74ac2633cd2b96ab09847d76be55c1c7/-/horizon-files-prod/ed/picture/q6xdkqq8/bcf0a5f4acaaa8589ee6faaef988211ee390e4de.jpg
BON TERRAIN SICAP KEURMASSAR,11500000,Keur Massar,157,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b83bfe095283ee19fa3f1b6dd2e49d1c/-/horizon-files-prod/ed/picture/q9mj2k9j/f00040d4c2345886848043cc5508fcc8ac572ef7.jpg
Terrain avec fondation Keur Massar,14500000,Keur Massar,170,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3797cdcb9df18e1f589972786c1c2f15/-/horizon-files-prod/ed/picture/qngpk9g9/b273b6939c9bc7f83bf29139374edde7714e4629.jpg
Terrains TF à vendre Bambilor,11000000,Bambilor,207,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa22be312657618673cedbfb14afa7d1/-/horizon-files-prod/ed/picture/q6xd4g86/106a2addfba555cdd46339f0b90c9cff2bfc9c94.jpg
Terrain en résidence à vendre à Nguerigne,45000000,Nguering,1000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1293f8a9cbe964cacdf8142475a5190e/-/horizon-files-prod/ed/picture/q2j028w6/746d3e3d4de856a6cccfcc7a5f46d0c031e04057.jpg
Terrain 150m2 tf zac mbao,22000000,Zac Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b34ef7a71d36563145646d5f4108bd32/-/horizon-files-prod/ed/picture/q2j028ve/68ce6c0999ee2265ec8b0c8b956c8b2706a49e4d.jpg
Terrains très bien placés à vendre aux Almadies,400000000,Almadies,57,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbacb3c5f9a1d50ded467beffcc0d63f/-/horizon-files-prod/ed/picture/q6xd6m8d/8d9caa2e8a3032a3cee98be34a9ebfb3f84b8f62.jpg
TERRAIN TITRE FONCIER A KOUNOUNE CITE HAWO DIA,16000000,Kounoune,160,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61b240915f826db2501dee76f97175f9/-/horizon-files-prod/ed/picture/q6xd4j8d/43849f3270a87c2b13e8cd09394a06d892b6ec3a.jpg
TERRAINS À VENDRE,3000000,Sindia,230,https://i.roamcdn.net/hz/ed/listing-thumb-543w/12214fb7d391ec8c364e59cca75e27ab/-/horizon-files-prod/ed/picture/qxjpnk50/613194ea63c8dd4c6445c7ec59f3a629d652f3fb.png
Centre-ville Opportunités pour investisseurs,3100000000,Plateau,3100000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4d7003c0bc608aaef4246a816da7609/-/horizon-files-prod/ed/picture/qgqwj62n/61dda8bd4db223a6f7decd514df4dab67c0913a9.jpg
Ref_5075_PL Terrain  à vendre à keur Guilaye,4000000,Sebikotane,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e2b9f9b93e9e33161a89d0a773c1c285/-/horizon-files-prod/ed/picture/qwep9wj6/02b2d16275fb8e89bbc8c01cd275ccc77ac0a704.png
Parcelles de 150 à 500m2 à Vendre à Kounoune 2,15000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/72f89d65a44b619bf6ef07714943733c/-/horizon-files-prod/ed/picture/qxjpnqx4/9ce00643276728bd56e1372ff694ec9f77ec5d8a.png
Un grand terrain pour un grand coeur,250000000,Almadies,292,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a829aff78a5d67eea468c49fd1aebeac/-/horizon-files-prod/ed/picture/qv4w0zrp/ca13ca542b6c53fe5885061e26cf898d3d8d4263.png
Vente Terrains à Touba Fall,2000000,Touba,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31fcf193f1f4030d7a100d8d2466a95a/-/horizon-files-prod/ed/picture/q0g7x5wj/492763d7d245d17dbac5d51561290df84dd99451.jpg
Terrain à vendre,500000000,Sacré-cœur,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/197f00a6985cdcfdbc6800d51fbc4528/-/horizon-files-prod/ed/picture/qzvpqxkg/72c02e890a3855d5cc6c9dd4a8796f6db7b6f8ef.png
Vente de terrains à NDIAKHIRATE,16000000,Ndiakhirate,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/534ee29427f01b40ebf9950137463f2b/-/horizon-files-prod/ed/picture/qngpddnr/0a40603632c5decdf241130a2a3fe4cf64e4b496.jpg
Terrain TFG à vendre à Thies,2500000,Thiès,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b94e2d502846142d68d395fa79b9736/-/horizon-files-prod/ed/picture/qpdw8vd0/11e6a6aec74a43b5c196109872369cbdf79256e0.jpg
TERRAIN 150 m2 À VENDRE (GRAND MBAO),15000000,Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/16c3dca206cffc08c011cf47a8de4b6c/-/horizon-files-prod/ed/picture/qpd6zmrm/9916f138fd2c740b3f4d5a6e14e3b3b0da93f551.jpg
TERRAIN 1800M2 COMMERCIAL EN VENTE YOFF DJILY MBAYE,1,Yoff,1800,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf57a643a0cd1831ad2c275bab8f8916/-/horizon-files-prod/ed/picture/qgqwkke0/ec1d96b5b142d9e93f4cfaf77e5e6429c812aeac.jpg
terrains à vendre à Niague lac rose.,5000000,Niague,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9158545e929e2b5b27ddad1182de8cc/-/horizon-files-prod/ed/picture/q78wd445/124a4790ed4a01e624eb26ea83b811a9c68ef5bd.jpg
Lot de terrain à Niakoul'Rap,7500000,Niakoul rap,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f64e8991d249a402a60f838d14d77d96/-/horizon-files-prod/ed/picture/q566pg70/b09b54d94573eef3baa531a0f02aafc5d256a5d8.jpg
Lot de terrain en face cité apix tivaouane peulh,12500000,Tivaouane peulh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70a0dfba8bac1a5e17ae0e3a4dcd4012/-/horizon-files-prod/ed/picture/qzvpqwnq/e6b808911bed6a682069d86c35ee08a91c85fbe3.jpg
Lot de terrain croisement Niague,7000000,Niague,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f3b2adf00694c62ed6ac110ecc928fb/-/horizon-files-prod/ed/picture/q6xd28gd/7be7e32a3ff1114aa5ce9616e524c50fc8b5b018.jpg
