Details,Prix,Adresse,Superficie,image_link-src
Opportunité à Diamniadio Pôle Urbain,800000000,Diamniadio,20000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d8522bcbc1041377635dd297f523c05/-/horizon-files-prod/ed/picture/qgq92pwk/b0b668f47f35c27e9235e810959c21f6774ebc06.jpg
TERRAIN A VENDRE DOUGAR,4000000,Yene,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0fda2ae01329895dc5fdb1d6dc6363d/-/horizon-files-prod/ed/picture/q9mjkzz5/2562071b0925cc5afdfa308a9aa385f4d5615c15.jpg
Des terrains de 150m2 à zac mbao,25000000,Zac Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9227942bd486a92392ecd8c4e0fa25d1/-/horizon-files-prod/ed/picture/qm5pdvj9/e8563bf65650c01e6ef39bbf6ecfa132db25d06c.jpg
TERRAIN A VENDRE SINDIA,10000000,Sindia,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/027405b849124747d49cb7160d571ec1/-/horizon-files-prod/ed/picture/qgqwp5p9/895014066c598f4fd33a51f7f4c255667bc98a93.jpg
terrain a vendre a kounoune,14000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/840ef05ca039b224458d83d3ad5fe237/-/horizon-files-prod/ed/picture/qkr8g0nz/699606458d9980771ff0cc1f7250b58ba4049862.jpg
Terrain 1ha Bail individuel à Diamniadio,250000000,Diamniadio,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06659362720d805b6637ff127c332542/-/horizon-files-prod/ed/picture/qgqwpvnr/820ed4a2b54ac9a75153b0eaef0f80961019bb9f.jpg
"Terrain agricole à vendre à Nguéniène, Thies",5000000,Mbour,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/57f2c3ed0f226c6009b04c006934c330/-/horizon-files-prod/ed/picture/q9mjrrvv/20c1ebfc4c35ae246f5621a057ef0555e9b0f21a.jpg
Terrain à vendre,22500000,Keur Massar,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a77793f30ff093f3621b12d3b31973cf/-/horizon-files-prod/ed/picture/qxjp24qm/19bc3de8d5dafd8be31bf5405605121a42d86e45.jpg
Terrain à Mboro par hectares,4500000,Mboro,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/768b072b3d99e0e3dd2495cc2da82df4/-/horizon-files-prod/ed/picture/q8vzxr74/b328516b54a18344a158ada18c7fcf4971400f40.jpg
Terrain à vendre sur la vdn3 rond point Gadaye,45000000,Guediawaye,192,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e130b6e5b2494dc947c519fa3b921fc6/-/horizon-files-prod/ed/picture/q2jqd8qj/5c4c6b3c20d2ef87c1c92de9869c43f8f968e65d.jpg
2 terrains de 200m2 à vendre à saly,17000000,Saly Portudal,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbf6c154ed6b600c8db369b329874e4b/-/horizon-files-prod/ed/picture/q44n0jrm/de4645fc8ab8714986d19fcd50ef3996132c4518.jpg
Terrain de 449 m2 à vendre à Ndaparou,47000000,Ngaparou,449,https://i.roamcdn.net/hz/ed/listing-thumb-543w/83a4b3b08d4c02e381a68a47cfb9e19d/-/horizon-files-prod/ed/picture/qv4wkx6v/b69976ecfdc003e73a6cf5829fc55f750c565886.jpg
Terrains à vendre à Thies Mont rolland,500000,Thiès,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a00cb9c2633feadadf0be23a5249b3de/-/horizon-files-prod/ed/picture/qngpj60r/bec5e1450cfd642164a0c4dc4f28ff2f2f781183.jpg
Terrains Lac Rose keur SIMBIRI,1500000,Lac Rose,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/12b9f5000f5a26e86d3fb4eedfd3c52a/-/horizon-files-prod/ed/picture/qq422qew/48f07482860ae81f704cd061b5d2d1518c5a6c91.jpg
Lot de 100 terrains à bayakh sur la route nationale,3000000,Bayakh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1be837c682bafdb00f200770af3ca5b5/-/horizon-files-prod/ed/picture/q56x72g7/b24ba1e8ee5bed987a8dd2dce0230560c4aa6799.jpg
Terrain à vendre,11500000,Somone,343,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71a71ba47f53f5abc8a9f709ebd5ec63/-/horizon-files-prod/ed/picture/qkr80xg2/f1da814b095abae5c65778b13d876b9f4b88bb65.jpg
Ref_5071_JN 1605 parcelles viabilisées à Kounoune,15000000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/acdfe0b3273388761832f2ff994137cf/-/horizon-files-prod/ed/picture/q6xdzqq7/8863fa38d62caabf3e36f3bd2ff70cda86838ba3.png
Terrain à vendre,1500000,Bambilor,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fad71545152153eee244e8d4ed8fab01/-/horizon-files-prod/ed/picture/q6xdzq26/cf7aff74e8b41430b50d8e61965ba30fa63e85e8.jpg
Terrain à vendre à Pout,4500000,Pout,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cea9af24257e07a5df7ec5a61dd9bdf8/-/horizon-files-prod/ed/picture/q0gwq7p8/f3ad95a385702e53f710c0b6cbef3ec529a42588.jpg
Terrain de 412 M2 à vendre à mbour Toucouleur,17000000,Mbour,412,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a63502fae913a4b01c2fd69b994ebdf/-/horizon-files-prod/ed/picture/q78w9jeq/c575aeafda4cf208516225cd79a86505dc57c857.png
